sample	depth	pc_genome	combination	density
DC3-10	50	0.122333	DC3	10
DC3-1000	50	0.460488	DC3	1000
DC4-100	50	0.351665	DC4	100
DC4-10000	50	0.7028949999999999	DC4	10000
DC4-10	50	0.09561	DC4	10
DC4-1000	50	0.48788100000000006	DC4	1000
DC5-100	50	0.24463000000000001	DC5	100
DC5-10000	50	0.6635300000000001	DC5	10000
DC5-10	50	0.050872	DC5	10
DC5-1000	50	0.378824	DC5	1000
QC1-100	50	0.288632	QC1	100
QC1-10000	50	0.579076	QC1	10000
QC1-10	50	0.00019099999999999998	QC1	10
QC1-1000	50	0.47627700000000006	QC1	1000
QC2-100	50	0.323907	QC2	100
QC2-10000	50	0.693423	QC2	10000
QC2-10	50	4.7e-05	QC2	10
QC2-1000	50	0.560213	QC2	1000
TC1-100	50	0.273992	TC1	100
TC1-10000	50	0.6652859999999999	TC1	10000
TC1-10	50	0.136521	TC1	10
TC1-1000	50	0.49643400000000004	TC1	1000
TC2-100	50	0.356026	TC2	100
TC2-10000	50	0.664864	TC2	10000
TC2-10	50	0.019371	TC2	10
TC2-1000	50	0.522574	TC2	1000
TC5-100	50	0.24555500000000002	TC5	100
TC5-10000	50	0.654838	TC5	10000
TC5-10	50	0.12306800000000001	TC5	10
TC5-1000	50	0.485893	TC5	1000
7C1-100	60	0.082859	7C1	100
7C1-10000	60	0.594514	7C1	10000
7C1-10	60	5.4000000000000005e-05	7C1	10
7C1-1000	60	0.497396	7C1	1000
DC3-100	60	0.111471	DC3	100
DC3-10000	60	0.636949	DC3	10000
DC3-10	60	0.108948	DC3	10
DC3-1000	60	0.409592	DC3	1000
DC4-100	60	0.31548000000000004	DC4	100
DC4-10000	60	0.655109	DC4	10000
DC4-10	60	0.08652	DC4	10
DC4-1000	60	0.43789300000000003	DC4	1000
DC5-100	60	0.212918	DC5	100
DC5-10000	60	0.609843	DC5	10000
DC5-10	60	0.044482	DC5	10
DC5-1000	60	0.335237	DC5	1000
QC1-100	60	0.258416	QC1	100
QC1-10000	60	0.523342	QC1	10000
QC1-10	60	0.00017900000000000001	QC1	10
QC1-1000	60	0.42550600000000005	QC1	1000
QC2-100	60	0.292068	QC2	100
QC2-10000	60	0.643255	QC2	10000
QC2-10	60	3.9e-05	QC2	10
QC2-1000	60	0.507502	QC2	1000
TC1-100	60	0.24666799999999997	TC1	100
TC1-10000	60	0.61448	TC1	10000
TC1-10	60	0.12334200000000001	TC1	10
TC1-1000	60	0.447604	TC1	1000
TC2-100	60	0.32355700000000004	TC2	100
