owner	extractionMethod	density	repairMethod	swgaMethod	replicate	sampleNumber	laneNumber	sampleName
GH	qia	10000	na	sof	S1	L001		qia-10K-sof-S1-L001
GH	qia	10000	na	sof	S1	L002		qia-10K-sof-S1-L002
GH	qia	10000	na	sof	S1	L003		qia-10K-sof-S1-L003
GH	qia	10000	na	sof	S1	L004		qia-10K-sof-S1-L004
GH	qia	10	na	sanger	S19	L001		qia-10-sanger-S19-L001
GH	qia	10	na	sanger	S19	L002		qia-10-sanger-S19-L002
GH	qia	10	na	sanger	S19	L003		qia-10-sanger-S19-L003
GH	qia	10	na	sanger	S19	L004		qia-10-sanger-S19-L004
GH	qia	10	na	sof	S4	L001		qia-10-sof-S4-L001
GH	qia	10	na	sof	S4	L002		qia-10-sof-S4-L002
GH	qia	10	na	sof	S4	L003		qia-10-sof-S4-L003
GH	qia	10	na	sof	S4	L004		qia-10-sof-S4-L004
GH	qia	1000	na	JP	S32	L001		qia-1K-JP-S32-L001
GH	qia	1000	na	JP	S32	L002		qia-1K-JP-S32-L002
GH	qia	1000	na	JP	S32	L003		qia-1K-JP-S32-L003
GH	qia	1000	na	JP	S32	L004		qia-1K-JP-S32-L004
GH	qia	1000	na	sanger	S17	L001		qia-1K-sanger-S17-L001
GH	qia	1000	na	sanger	S17	L002		qia-1K-sanger-S17-L002
GH	qia	1000	na	sanger	S17	L003		qia-1K-sanger-S17-L003
GH	qia	1000	na	sanger	S17	L004		qia-1K-sanger-S17-L004
GH	qia	1000	na	sof	S2	L001		qia-1K-sof-S2-L001
GH	qia	1000	na	sof	S2	L002		qia-1K-sof-S2-L002
GH	qia	1000	na	sof	S2	L003		qia-1K-sof-S2-L003
GH	qia	1000	na	sof	S2	L004		qia-1K-sof-S2-L004
GH	qiainv	100	na	JP	S30	L001		qiainv-100-JP-S30-L001
GH	qiainv	100	na	JP	S30	L002		qiainv-100-JP-S30-L002
GH	qiainv	100	na	JP	S30	L003		qiainv-100-JP-S30-L003
GH	qiainv	100	na	JP	S30	L004		qiainv-100-JP-S30-L004
GH	qiainv	100	na	sanger	S28	L001		qiainv-100-sanger-S28-L001
GH	qiainv	100	na	sanger	S28	L002		qiainv-100-sanger-S28-L002
GH	qiainv	100	na	sanger	S28	L003		qiainv-100-sanger-S28-L003
GH	qiainv	100	na	sanger	S28	L004		qiainv-100-sanger-S28-L004
GH	qiainv	100	na	sof	S13	L001		qiainv-100-sof-S13-L001
GH	qiainv	100	na	sof	S13	L002		qiainv-100-sof-S13-L002
GH	qiainv	100	na	sof	S13	L003		qiainv-100-sof-S13-L003
GH	qiainv	100	na	sof	S13	L004		qiainv-100-sof-S13-L004
GH	qiainv	10	na	JP	S35	L001		qiainv-10-JP-S35-L001
GH	qiainv	10	na	JP	S35	L002		qiainv-10-JP-S35-L002
GH	qiainv	10	na	JP	S35	L003		qiainv-10-JP-S35-L003
GH	qiainv	10	na	JP	S35	L004		qiainv-10-JP-S35-L004
GH	qiainv	10000	na	JP	S20	L001		qiainv-10K-JP-S20-L001
GH	qiainv	10000	na	JP	S20	L002		qiainv-10K-JP-S20-L002
GH	qiainv	10000	na	JP	S20	L003		qiainv-10K-JP-S20-L003
GH	qiainv	10000	na	JP	S20	L004		qiainv-10K-JP-S20-L004
GH	qiainv	10000	na	sanger	S26	L001		qiainv-10K-sanger-S26-L001
GH	qiainv	10000	na	sanger	S26	L002		qiainv-10K-sanger-S26-L002
GH	qiainv	10000	na	sanger	S26	L003		qiainv-10K-sanger-S26-L003
GH	qiainv	10000	na	sanger	S26	L004		qiainv-10K-sanger-S26-L004
GH	qiainv	10000	na	sof	S11	L001		qiainv-10K-sof-S11-L001
GH	qiainv	10000	na	sof	S11	L002		qiainv-10K-sof-S11-L002
GH	qiainv	10000	na	sof	S11	L003		qiainv-10K-sof-S11-L003
GH	qiainv	10000	na	sof	S11	L004		qiainv-10K-sof-S11-L004
GH	qiainv	10	na	sanger	S29	L001		qiainv-10-sanger-S29-L001
GH	qiainv	10	na	sanger	S29	L002		qiainv-10-sanger-S29-L002
GH	qiainv	10	na	sanger	S29	L003		qiainv-10-sanger-S29-L003
GH	qiainv	10	na	sanger	S29	L004		qiainv-10-sanger-S29-L004
GH	qiainv	10	na	sof	S14	L001		qiainv-10-sof-S14-L001
GH	qiainv	10	na	sof	S14	L002		qiainv-10-sof-S14-L002
GH	qiainv	10	na	sof	S14	L003		qiainv-10-sof-S14-L003
GH	qiainv	10	na	sof	S14	L004		qiainv-10-sof-S14-L004
GH	qiainv	1000	na	JP	S25	L001		qiainv-1K-JP-S25-L001
GH	qiainv	1000	na	JP	S25	L002		qiainv-1K-JP-S25-L002
GH	qiainv	1000	na	JP	S25	L003		qiainv-1K-JP-S25-L003
GH	qiainv	1000	na	JP	S25	L004		qiainv-1K-JP-S25-L004
GH	qiainv	1000	na	sanger	S27	L001		qiainv-1K-sanger-S27-L001
GH	qiainv	1000	na	sanger	S27	L002		qiainv-1K-sanger-S27-L002
GH	qiainv	1000	na	sanger	S27	L003		qiainv-1K-sanger-S27-L003
GH	qiainv	1000	na	sanger	S27	L004		qiainv-1K-sanger-S27-L004
GH	qiainv	1000	na	sof	S12	L001		qiainv-1K-sof-S12-L001
GH	qiainv	1000	na	sof	S12	L002		qiainv-1K-sof-S12-L002
GH	qiainv	1000	na	sof	S12	L003		qiainv-1K-sof-S12-L003
GH	qiainv	1000	na	sof	S12	L004		qiainv-1K-sof-S12-L004
GH	Undetermined	na	na	na	S0	L001		Undetermined-S0-L001
GH	Undetermined	na	na	na	S0	L002		Undetermined-S0-L002
GH	Undetermined	na	na	na	S0	L003		Undetermined-S0-L003
GH	Undetermined	na	na	na	S0	L004		Undetermined-S0-L004
