uniq_a	uniq_b	shared	sample_a	sample_b
3881	3916	21063	1000-Qia-M-Sang-1	1000-Qia-R-Sang-2
3054	5134	21890	1000-Qia-M-Sang-1	1000-Qia-R-Sof-1
3260	4347	21684	1000-Qia-M-Sang-1	1000-Qia-R-Sof-2
4028	3322	20916	1000-Qia-M-Sang-1	100-Che-M-Sang-1
4127	3344	20817	1000-Qia-M-Sang-1	100-Che-M-Sang-2
3209	4083	21735	1000-Qia-M-Sang-1	100-Che-M-Sof-1
23449	941	1495	1000-Qia-M-Sang-1	100-Che-M-Sof-2
6116	2839	18828	1000-Qia-M-Sang-1	100-Che-R-Sang-1
5290	2982	19654	1000-Qia-M-Sang-1	100-Che-R-Sang-2
4156	3741	20788	1000-Qia-M-Sang-1	100-Che-R-Sof-1
4453	3528	20491	1000-Qia-M-Sang-1	100-Che-R-Sof-2
10120	3227	14824	1000-Qia-M-Sang-1	100-Qia-M-Sang-1
9796	3076	15148	1000-Qia-M-Sang-1	100-Qia-M-Sang-2
10730	2543	14214	1000-Qia-M-Sang-1	100-Qia-M-Sof-1
11751	2150	13193	1000-Qia-M-Sang-1	100-Qia-M-Sof-2
8185	3297	16759	1000-Qia-M-Sang-1	100-Qia-R-Sang-1
7804	3594	17140	1000-Qia-M-Sang-1	100-Qia-R-Sang-2
7711	3880	17233	1000-Qia-M-Sang-1	100-Qia-R-Sof-1
7864	3650	17080	1000-Qia-M-Sang-1	100-Qia-R-Sof-2
2988	4034	21616	1000-Qia-M-Sang-2	1000-Che-M-Sang-1
2933	4144	21671	1000-Qia-M-Sang-2	1000-Che-M-Sang-2
2897	4482	21707	1000-Qia-M-Sang-2	1000-Che-M-Sof-1
3120	3891	21484	1000-Qia-M-Sang-2	1000-Che-M-Sof-2
3359	3927	21245	1000-Qia-M-Sang-2	1000-Che-R-Sang-1
3309	4082	21295	1000-Qia-M-Sang-2	1000-Che-R-Sang-2
3110	4459	21494	1000-Qia-M-Sang-2	1000-Che-R-Sof-1
3211	4270	21393	1000-Qia-M-Sang-2	1000-Che-R-Sof-2
3597	3937	21007	1000-Qia-M-Sang-2	1000-Qia-M-Sang-1
0	0	24604	1000-Qia-M-Sang-2	1000-Qia-M-Sang-2
3205	4328	21399	1000-Qia-M-Sang-2	1000-Qia-M-Sof-1
3366	4308	21238	1000-Qia-M-Sang-2	1000-Qia-M-Sof-2
3789	4039	20815	1000-Qia-M-Sang-2	1000-Qia-R-Sang-1
3783	4158	20821	1000-Qia-M-Sang-2	1000-Qia-R-Sang-2
2966	5386	21638	1000-Qia-M-Sang-2	1000-Qia-R-Sof-1
3320	4747	21284	1000-Qia-M-Sang-2	1000-Qia-R-Sof-2
4058	3692	20546	1000-Qia-M-Sang-2	100-Che-M-Sang-1
4108	3665	20496	1000-Qia-M-Sang-2	100-Che-M-Sang-2
3154	4368	21450	1000-Qia-M-Sang-2	100-Che-M-Sof-1
23119	951	1485	1000-Qia-M-Sang-2	100-Che-M-Sof-2
5875	2938	18729	1000-Qia-M-Sang-2	100-Che-R-Sang-1
5171	3203	19433	1000-Qia-M-Sang-2	100-Che-R-Sang-2
4132	4057	20472	1000-Qia-M-Sang-2	100-Che-R-Sof-1
4249	3664	20355	1000-Qia-M-Sang-2	100-Che-R-Sof-2
9886	3333	14718	1000-Qia-M-Sang-2	100-Qia-M-Sang-1
9581	3201	15023	1000-Qia-M-Sang-2	100-Qia-M-Sang-2
10582	2735	14022	1000-Qia-M-Sang-2	100-Qia-M-Sof-1
11526	2265	13078	1000-Qia-M-Sang-2	100-Qia-M-Sof-2
8221	3673	16383	1000-Qia-M-Sang-2	100-Qia-R-Sang-1
7661	3791	16943	1000-Qia-M-Sang-2	100-Qia-R-Sang-2
7578	4087	17026	1000-Qia-M-Sang-2	100-Qia-R-Sof-1
7641	3767	16963	1000-Qia-M-Sang-2	100-Qia-R-Sof-2
3270	3193	22457	1000-Qia-M-Sof-1	1000-Che-M-Sang-1
3135	3223	22592	1000-Qia-M-Sof-1	1000-Che-M-Sang-2
2962	3424	22765	1000-Qia-M-Sof-1	1000-Che-M-Sof-1
3253	2901	22474	1000-Qia-M-Sof-1	1000-Che-M-Sof-2
3589	3034	22138	1000-Qia-M-Sof-1	1000-Che-R-Sang-1
3556	3206	22171	1000-Qia-M-Sof-1	1000-Che-R-Sang-2
3222	3448	22505	1000-Qia-M-Sof-1	1000-Che-R-Sof-1
3294	3230	22433	1000-Qia-M-Sof-1	1000-Che-R-Sof-2
4056	3273	21671	1000-Qia-M-Sof-1	1000-Qia-M-Sang-1
4328	3205	21399	1000-Qia-M-Sof-1	1000-Qia-M-Sang-2
0	0	25727	1000-Qia-M-Sof-1	1000-Qia-M-Sof-1
3454	3273	22273	1000-Qia-M-Sof-1	1000-Qia-M-Sof-2
4127	3254	21600	1000-Qia-M-Sof-1	1000-Qia-R-Sang-1
4097	3349	21630	1000-Qia-M-Sof-1	1000-Qia-R-Sang-2
2999	4296	22728	1000-Qia-M-Sof-1	1000-Qia-R-Sof-1
3374	3678	22353	1000-Qia-M-Sof-1	1000-Qia-R-Sof-2
4517	3028	21210	1000-Qia-M-Sof-1	100-Che-M-Sang-1
4591	3025	21136	1000-Qia-M-Sof-1	100-Che-M-Sang-2
3335	3426	22392	1000-Qia-M-Sof-1	100-Che-M-Sof-1
24222	931	1505	1000-Qia-M-Sof-1	100-Che-M-Sof-2
6568	2508	19159	1000-Qia-M-Sof-1	100-Che-R-Sang-1
5786	2695	19941	1000-Qia-M-Sof-1	100-Che-R-Sang-2
4404	3206	21323	1000-Qia-M-Sof-1	100-Che-R-Sof-1
4674	2966	21053	1000-Qia-M-Sof-1	100-Che-R-Sof-2
10704	3028	15023	1000-Qia-M-Sof-1	100-Qia-M-Sang-1
10458	2955	15269	1000-Qia-M-Sof-1	100-Qia-M-Sang-2
11304	2334	14423	1000-Qia-M-Sof-1	100-Qia-M-Sof-1
12403	2019	13324	1000-Qia-M-Sof-1	100-Qia-M-Sof-2
8748	3077	16979	1000-Qia-M-Sof-1	100-Qia-R-Sang-1
8288	3295	17439	1000-Qia-M-Sof-1	100-Qia-R-Sang-2
8053	3439	17674	1000-Qia-M-Sof-1	100-Qia-R-Sof-1
8281	3284	17446	1000-Qia-M-Sof-1	100-Qia-R-Sof-2
3285	3389	22261	1000-Qia-M-Sof-2	1000-Che-M-Sang-1
3236	3505	22310	1000-Qia-M-Sof-2	1000-Che-M-Sang-2
2978	3621	22568	1000-Qia-M-Sof-2	1000-Che-M-Sof-1
3293	3122	22253	1000-Qia-M-Sof-2	1000-Che-M-Sof-2
3619	3245	21927	1000-Qia-M-Sof-2	1000-Che-R-Sang-1
3585	3416	21961	1000-Qia-M-Sof-2	1000-Che-R-Sang-2
3287	3694	22259	1000-Qia-M-Sof-2	1000-Che-R-Sof-1
3398	3515	22148	1000-Qia-M-Sof-2	1000-Che-R-Sof-2
3983	3381	21563	1000-Qia-M-Sof-2	1000-Qia-M-Sang-1
4308	3366	21238	1000-Qia-M-Sof-2	1000-Qia-M-Sang-2
3273	3454	22273	1000-Qia-M-Sof-2	1000-Qia-M-Sof-1
0	0	25546	1000-Qia-M-Sof-2	1000-Qia-M-Sof-2
4199	3507	21347	1000-Qia-M-Sof-2	1000-Qia-R-Sang-1
4169	3602	21377	1000-Qia-M-Sof-2	1000-Qia-R-Sang-2
3130	4608	22416	1000-Qia-M-Sof-2	1000-Qia-R-Sof-1
3414	3899	22132	1000-Qia-M-Sof-2	1000-Qia-R-Sof-2
4425	3117	21121	1000-Qia-M-Sof-2	100-Che-M-Sang-1
4494	3109	21052	1000-Qia-M-Sof-2	100-Che-M-Sang-2
3370	3642	22176	1000-Qia-M-Sof-2	100-Che-M-Sof-1
24056	946	1490	1000-Qia-M-Sof-2	100-Che-M-Sof-2
