total	mapped	paired	plate	sampleName
122272	59721	44050	ubn1	1148499800
85790	44932	30150	ubn1	1148499806
272	159	120	ubn1	1148499814
107526	46853	29578	ubn1	1148499816
105482	36605	21316	ubn1	1148499817
74228	36047	24416	ubn1	1148499820
96620	45565	29610	ubn1	1148499825
84286	35901	22400	ubn1	1148499838
108716	30009	18024	ubn1	1148499839
73528	32018	20146	ubn1	1148499843
107334	30004	16588	ubn1	1148499855
91764	42176	26388	ubn1	1148499857
124706	56310	35758	ubn1	1148499865
90472	39370	24548	ubn1	1148499866
86302	39742	27748	ubn1	1148499867
89744	33515	19272	ubn1	1148499883
119144	58026	42858	ubn1	1148499885
64282	28123	17320	ubn1	1148499897
30094	14935	10050	ubn1	1148499904
93466	62546	49840	ubn1	1148499918
38944	22451	16028	ubn1	1148499937
110486	48225	31098	ubn1	1148499953
100122	44317	28314	ubn1	1148500020
105274	46635	29540	ubn1	1148500086
61636	34760	25038	ubn1	1148500107
116422	45601	28138	ubn1	1148500181
84250	32935	19578	ubn1	1148500211
79550	38532	25406	ubn1	1148500212
15882	7029	4892	ubn1	1148500240
61260	26346	17608	ubn1	1148500256
79294	28777	16936	ubn1	1148500454
93684	43002	27858	ubn1	1148500457
112568	52070	32802	ubn1	1148500468
77508	27735	16634	ubn1	1148500503
69518	6900	4276	ubn1	1148500512
61444	28777	18614	ubn1	1148500514
119856	60638	42078	ubn1	1148500516
89338	38972	24642	ubn1	1148500523
40538	16983	10314	ubn1	1148500532
91814	38711	23722	ubn1	1148500543
73622	3706	2294	ubn1	1149102597
13792	2429	1860	ubn1	1149102600
142328	13340	10046	ubn1	1149103798
114578	21568	10802	ubn1	1149103841
31558	3135	2154	ubn1	1149103986
66024	16527	11204	ubn1	1149104054
89464	4531	2932	ubn1	1149104225
48192	3673	2660	ubn1	1149104226
114690	16987	11548	ubn1	1149104510
48438	8615	5734	ubn1	1149104580
44382	12665	8710	ubn1	1149104616
66400	19983	12892	ubn1	1149108373
85916	18298	12278	ubn1	1149108415
84066	445	288	ubn1	1149108471
35024	1928	1364	ubn1	1149108928
78794	3888	2382	ubn1	1149108974
62524	0	0	ubn1	NAMP1-NEG-10
172394	39069	25918	ubn1	NAMP1-NEG-1
80766	28625	18756	ubn1	NAMP1-NEG-11
82628	10	6	ubn1	NAMP1-NEG-12
80072	12726	7744	ubn1	NAMP1-NEG-2
90842	19120	11820	ubn1	NAMP1-NEG-3
85296	22186	14272	ubn1	NAMP1-NEG-4
121610	60335	39832	ubn1	NAMP1-NEG-5
122884	0	0	ubn1	NAMP1-NEG-6
123186	60701	39078	ubn1	NAMP1-NEG-7
150960	4	2	ubn1	NAMP1-NEG-8
99786	50217	32926	ubn1	NAMP1-NEG-9
2099952	675719	416482	ubn1	Undetermined
